player_id,player_name,team_name,matches_with_heatmap,heatmap_point_count,grid_x,grid_y,npz_key
359334,Saeid Ezatolahi,Iran,3,209,21,14,359334
1149011,Kenan Yıldız,Türkiye,3,208,21,14,1149011
262911,Andy Robertson,Scotland,3,207,21,14,262911
822749,Joe Bell,New Zealand,3,207,21,14,822749
311456,Guillermo Varela,Uruguay,3,206,21,14,311456
985131,Carlos Harvey,Panama,3,206,21,14,985131
932486,Ali Nemati,Iran,3,205,21,14,932486
788971,Juninho Bacuna,Curaçao,3,204,21,14,788971
233746,Boualem Khoukhi,Qatar,3,202,21,14,233746
1102791,Amar Dedić,Bosnia & Herzegovina,3,202,21,14,1102791
966849,Saud Abdulhamid,Saudi Arabia,3,201,21,14,966849
128587,Thomas Meunier,Belgium,3,200,21,14,128587
1157713,Isak Hien,Sweden,3,198,21,14,1157713
897291,Ismail Jakobs,Senegal,3,196,21,14,897291
1114775,Mohannad Abu Taha,Jordan,3,196,21,14,1114775
358890,Otabek Shukurov,Uzbekistan,3,194,21,14,358890
860307,Facundo Medina,Argentina,3,193,21,14,860307
1173167,Danley Jean Jacques,Haiti,3,193,21,14,1173167
831808,Federico Valverde,Uruguay,3,192,21,14,831808
881307,Seung Ho Paik,South Korea,3,191,21,14,881307
1028307,Kaishu Sano,Japan,3,191,21,14,1028307
888906,Yazan Al-Arab,Jordan,3,190,21,14,888906
803021,Sherel Constancio Floranus,Curaçao,3,189,21,14,803021
927407,Josip Stanišić,Croatia,3,189,21,14,927407
138024,Vladimír Coufal,Czechia,3,188,21,14,138024
828524,Mohamed Kanno,Saudi Arabia,3,188,21,14,828524
846425,Manuel Ugarte,Uruguay,3,188,21,14,846425
804434,Takehiro Tomiyasu,Japan,3,185,21,14,804434
812533,Mehdi Taremi,Iran,3,185,21,14,812533
915325,Amir Al-Ammari,Iraq,3,184,21,14,915325
927845,Noor Al-Rawabdeh,Jordan,3,183,21,14,927845
1014324,Nizar Al-Rashdan,Jordan,3,182,21,14,1014324
905267,Elijah Just,New Zealand,3,180,21,14,905267
386958,Shogo Taniguchi,Japan,3,179,21,14,386958
833352,Yoel Bárcenas,Panama,3,179,21,14,833352
872607,Nasser Al-Dawsari,Saudi Arabia,3,177,21,14,872607
38624,Michael Boxall,New Zealand,3,176,21,14,38624
1000809,Amine Ben Hmida,Tunisia,3,176,21,14,1000809
1019333,Young-woo Seol,South Korea,3,176,21,14,1019333
235686,Kim Seung-gyu,South Korea,3,175,21,14,235686
786133,Ramin Rezaeian,Iran,3,175,21,14,786133
1187275,Joel Ordóñez,Ecuador,3,174,21,14,1187275
998247,Micky van de Ven,Netherlands,3,173,21,14,998247
1218056,Jonas Adjei Adjetey,Ghana,3,173,21,14,1218056
825838,Armando Obispo,Curaçao,3,171,21,14,825838
227946,Angus Gunn,Scotland,3,170,21,14,227946
577736,Karim Hafez,Egypt,3,169,21,14,577736
1014225,Zidane Iqbal,Iraq,3,169,21,14,1014225
957615,Robin Hranáč,Czechia,3,168,21,14,957615
149663,Nathan Aké,Netherlands,3,167,21,14,149663
879618,Montassar Talbi,Tunisia,3,167,21,14,879618
1114497,Abdallah Nasib,Jordan,3,165,21,14,1114497
879346,Scott McTominay,Scotland,3,163,21,14,879346
920514,Jerome Opoku,Ghana,3,163,21,14,920514
